cProfile_30_100.dat
         5556146 function calls (2879839 primitive calls) in 5.583 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      152    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1178(__init__)
       78    0.001    0.000    0.002    0.000 parse.py:288(urlparse)
     3112    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      792    0.001    0.000    0.002    0.000 _weakrefset.py:58(__iter__)
      352    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       96    0.001    0.000    0.001    0.000 parse.py:321(urlsplit)
        1    0.001    0.001    0.001    0.001 uts46data.py:4(<module>)
       15    0.001    0.000    0.007    0.000 ops.py:36(_create_methods)
      838    0.001    0.000    0.003    0.000 genericpath.py:16(exists)
     1062    0.001    0.000    0.003    0.000 {method 'encode' of 'str' objects}
   146/10    0.001    0.000    0.002    0.000 pyparsing.py:3261(streamline)
      370    0.001    0.000    0.001    0.000 genericpath.py:111(_splitext)
     2627    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
     1185    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:310(__init__)
     5170    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
       15    0.001    0.000    0.001    0.000 {built-in method posix.urandom}
     1829    0.001    0.000    0.001    0.000 posixpath.py:39(_get_sep)
     1350    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:789(find_spec)
     1183    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
      577    0.001    0.000    0.001    0.000 sre_parse.py:362(_escape)
      520    0.001    0.000    0.002    0.000 __init__.py:1523(_fn)
      370    0.001    0.000    0.013    0.000 __init__.py:2373(__init__)
      274    0.001    0.000    0.028    0.000 __init__.py:2357(_version_from_file)
      131    0.001    0.000    0.001    0.000 pyparsing.py:410(__delitem__)
      409    0.001    0.000    0.001    0.000 sre_parse.py:312(_class_escape)
      206    0.001    0.000    0.001    0.000 parse.py:100(_coerce_args)
        1    0.001    0.001    0.001    0.001 zipfile.py:1085(_RealGetContents)
     5881    0.001    0.000    0.001    0.000 inspect.py:2446(kind)
      231    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
        6    0.001    0.000    0.001    0.000 categorical.py:30(_cat_compare_op)
       64    0.001    0.000    0.202    0.003 __init__.py:1(<module>)
      576    0.001    0.000    0.002    0.000 pyparsing.py:1046(wrapper)
3770/3179    0.001    0.000    0.005    0.000 {built-in method builtins.issubclass}
       62    0.001    0.000    0.001    0.000 {method 'new' of 'CompiledFFI' objects}
      780    0.001    0.000    0.002    0.000 pyparsing.py:621(__getattr__)
        2    0.001    0.000    0.001    0.000 {built-in method _openssl.SSL_CTX_set_cipher_list}
     4571    0.001    0.000    0.001    0.000 inspect.py:2434(name)
      313    0.001    0.000    0.001    0.000 _util.py:245(<listcomp>)
       47    0.001    0.000    0.004    0.000 traceback.py:313(extract)
      663    0.001    0.000    0.023    0.000 inspect.py:2733(from_callable)
      817    0.001    0.000    0.001    0.000 _weakrefset.py:70(__contains__)
      112    0.001    0.000    0.017    0.000 decorator.py:202(create)
      272    0.001    0.000    0.001    0.000 sre_parse.py:217(__init__)
  288/157    0.001    0.000    0.005    0.000 pyparsing.py:3885(parseImpl)
      380    0.001    0.000    0.001    0.000 sre_parse.py:78(opengroup)
      715    0.001    0.000    0.001    0.000 pyparsing.py:2382(parseImpl)
      502    0.001    0.000    0.005    0.000 __init__.py:874(__setitem__)
       17    0.001    0.000    0.001    0.000 generic.py:6(create_pandas_abc_type)
      224    0.001    0.000    0.002    0.000 utils.py:117(deprecate)
       86    0.001    0.000    0.003    0.000 traitlets.py:720(__new__)
      264    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
        2    0.001    0.000    0.001    0.000 extensions.py:714(__init__)
      124    0.001    0.000    0.001    0.000 decorator.py:151(update)
      282    0.001    0.000    0.001    0.000 enum.py:301(__setattr__)
      264    0.001    0.000    0.035    0.000 sre_compile.py:516(_code)
       30    0.001    0.000    0.003    0.000 shutil.py:1083(which)
      278    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
        3    0.001    0.000    0.001    0.000 style.py:18(__new__)
      428    0.001    0.000    0.019    0.000 {built-in method builtins.next}
      306    0.001    0.000    0.002    0.000 inspect.py:2747(replace)
      274    0.001    0.000    0.029    0.000 __init__.py:2728(_reload_version)
      235    0.001    0.000    0.001    0.000 posixpath.py:145(dirname)
      227    0.001    0.000    0.001    0.000 abc.py:135(<setcomp>)
        2    0.001    0.000    0.001    0.000 {built-in method _openssl.SSL_CTX_new}
     1548    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:190(cb)
     3104    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
      281    0.001    0.000    0.002    0.000 function_base.py:3944(add_newdoc)
     4427    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      385    0.001    0.000    0.003    0.000 abc.py:178(__instancecheck__)
      251    0.001    0.000    0.001    0.000 {built-in method builtins.repr}
      132    0.001    0.000    0.001    0.000 _collections_abc.py:592(get)
      326    0.000    0.000    0.001    0.000 pyparsing.py:2764(parseImpl)
      107    0.000    0.000    0.017    0.000 decorator.py:225(decorate)
      963    0.000    0.000    0.000    0.000 pyparsing.py:483(haskeys)
      137    0.000    0.000    0.001    0.000 sre_compile.py:374(_mk_bitmap)
     3938    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      146    0.000    0.000    0.001    0.000 __init__.py:2616(insert_on)
     2485    0.000    0.000    0.000    0.000 pyparsing.py:294(__getitem__)
      618    0.000    0.000    0.002    0.000 _collections_abc.py:675(__iter__)
      164    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:972(_gcd_import)
     1300    0.000    0.000    0.001    0.000 sre_parse.py:75(groups)
      129    0.000    0.000    0.002    0.000 pyparsing.py:3407(parseImpl)
      822    0.000    0.000    0.001    0.000 __init__.py:2362(<lambda>)
      174    0.000    0.000    0.005    0.000 __init__.py:1465(get_metadata)
      731    0.000    0.000    0.001    0.000 os.py:796(encode)
      235    0.000    0.000    0.000    0.000 {built-in method _bisect.bisect_left}
  252/124    0.000    0.000    0.008    0.000 pyparsing.py:3305(copy)
        2    0.000    0.000    0.035    0.018 pyparsing.py:61(<module>)
      166    0.000    0.000    0.000    0.000 textwrap.py:180(<listcomp>)
       20    0.000    0.000    0.059    0.003 __init__.py:688(add_entry)
       86    0.000    0.000    0.001    0.000 traitlets.py:740(setup_class)
        4    0.000    0.000    0.009    0.002 subprocess.py:1428(_execute_child)
      313    0.000    0.000    0.001    0.000 _util.py:259(<listcomp>)
      225    0.000    0.000    0.001    0.000 enum.py:51(__setitem__)
      663    0.000    0.000    0.023    0.000 inspect.py:2985(signature)
      151    0.000    0.000    0.002    0.000 pyparsing.py:3332(__init__)
       13    0.000    0.000    0.014    0.001 _distn_infrastructure.py:2641(__init__)
      146    0.000    0.000    0.074    0.001 __init__.py:2600(get_entry_map)
      397    0.000    0.000    0.002    0.000 genericpath.py:39(isdir)
      924    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      164    0.000    0.000    0.002    0.000 artist.py:1074(get_valid_values)
      149    0.000    0.000    0.001    0.000 pyparsing.py:3661(__init__)
        8    0.000    0.000    0.000    0.000 cookiejar.py:1367(_normalized_cookie_tuples)
      258    0.000    0.000    0.066    0.000 __init__.py:2819(parse_requirements)
